ID,DJID,QRCode,MusicConfig
1,80,QR1,"{'MusicPlaylist': [{'MusicName': 'Newspaper international.', 'Visible': True, 'Votes': 25, 'VotersIDs': ['27', '46', '20'], 'IsUserRecommentaion': True, 'RecommenderID': '13'}, {'MusicName': 'Thought present.', 'Visible': False, 'Votes': 34, 'VotersIDs': ['25', '72', '72', '19'], 'IsUserRecommentaion': False, 'RecommenderID': '20'}, {'MusicName': 'Model into.', 'Visible': True, 'Votes': 45, 'VotersIDs': ['93', '6', '69', '47'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Analysis.', 'Visible': True, 'Votes': 47, 'VotersIDs': ['54', '88'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Either learn.', 'Visible': True, 'Votes': 37, 'VotersIDs': ['84', '16', '79', '29', '53'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Be.', 'Visible': False, 'Votes': 12, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': '10'}], 'EnableUserRecommendation': False}"
2,22,QR2,"{'MusicPlaylist': [{'MusicName': 'Central.', 'Visible': False, 'Votes': 39, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Artist attack.', 'Visible': True, 'Votes': 44, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '14'}, {'MusicName': 'Consider role.', 'Visible': True, 'Votes': 21, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': '87'}, {'MusicName': 'System beyond.', 'Visible': True, 'Votes': 1, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': '50'}, {'MusicName': 'View.', 'Visible': False, 'Votes': 32, 'VotersIDs': ['77', '95'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Tv indeed.', 'Visible': False, 'Votes': 4, 'VotersIDs': ['87', '61'], 'IsUserRecommentaion': True, 'RecommenderID': '85'}, {'MusicName': 'Market.', 'Visible': False, 'Votes': 32, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': ''}], 'EnableUserRecommendation': True}"
3,10,QR3,"{'MusicPlaylist': [{'MusicName': 'Activity cultural.', 'Visible': True, 'Votes': 29, 'VotersIDs': ['36', '86', '41'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Force.', 'Visible': True, 'Votes': 44, 'VotersIDs': ['46'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Sell help.', 'Visible': True, 'Votes': 43, 'VotersIDs': [], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Push.', 'Visible': False, 'Votes': 9, 'VotersIDs': ['48'], 'IsUserRecommentaion': False, 'RecommenderID': '23'}, {'MusicName': 'Respond.', 'Visible': False, 'Votes': 18, 'VotersIDs': ['28', '99', '6', '46'], 'IsUserRecommentaion': True, 'RecommenderID': ''}], 'EnableUserRecommendation': True}"
4,51,QR4,"{'MusicPlaylist': [{'MusicName': 'Read.', 'Visible': False, 'Votes': 24, 'VotersIDs': ['33'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Successful on.', 'Visible': True, 'Votes': 43, 'VotersIDs': ['92', '58', '91'], 'IsUserRecommentaion': True, 'RecommenderID': '59'}, {'MusicName': 'Population who.', 'Visible': True, 'Votes': 9, 'VotersIDs': ['6', '60', '56'], 'IsUserRecommentaion': False, 'RecommenderID': '21'}, {'MusicName': 'Modern professional.', 'Visible': True, 'Votes': 34, 'VotersIDs': ['44'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Structure.', 'Visible': True, 'Votes': 42, 'VotersIDs': ['16', '30', '37'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Factor.', 'Visible': False, 'Votes': 0, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': ''}], 'EnableUserRecommendation': False}"
5,33,QR5,"{'MusicPlaylist': [{'MusicName': 'Song size.', 'Visible': True, 'Votes': 48, 'VotersIDs': ['41'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Similar former.', 'Visible': True, 'Votes': 29, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '89'}, {'MusicName': 'Little.', 'Visible': True, 'Votes': 33, 'VotersIDs': ['68'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Sell.', 'Visible': True, 'Votes': 46, 'VotersIDs': ['43', '97', '26', '70'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'High.', 'Visible': True, 'Votes': 6, 'VotersIDs': ['87', '41'], 'IsUserRecommentaion': False, 'RecommenderID': '29'}, {'MusicName': 'Less.', 'Visible': False, 'Votes': 37, 'VotersIDs': ['92', '21', '71', '65'], 'IsUserRecommentaion': False, 'RecommenderID': '28'}], 'EnableUserRecommendation': True}"
6,81,QR6,"{'MusicPlaylist': [{'MusicName': 'Weight role.', 'Visible': False, 'Votes': 45, 'VotersIDs': ['64', '81', '65', '38'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'So.', 'Visible': True, 'Votes': 30, 'VotersIDs': ['3', '83'], 'IsUserRecommentaion': False, 'RecommenderID': '52'}, {'MusicName': 'Leader.', 'Visible': True, 'Votes': 16, 'VotersIDs': ['87'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Teach.', 'Visible': True, 'Votes': 17, 'VotersIDs': ['99', '16'], 'IsUserRecommentaion': True, 'RecommenderID': '18'}, {'MusicName': 'It.', 'Visible': False, 'Votes': 4, 'VotersIDs': ['3', '49', '62', '2'], 'IsUserRecommentaion': False, 'RecommenderID': '1'}, {'MusicName': 'City perform.', 'Visible': True, 'Votes': 40, 'VotersIDs': ['97', '94', '87', '54', '99'], 'IsUserRecommentaion': True, 'RecommenderID': ''}], 'EnableUserRecommendation': False}"
7,34,QR7,"{'MusicPlaylist': [{'MusicName': 'Current catch.', 'Visible': True, 'Votes': 13, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '5'}, {'MusicName': 'People.', 'Visible': False, 'Votes': 44, 'VotersIDs': ['50', '22'], 'IsUserRecommentaion': False, 'RecommenderID': '85'}, {'MusicName': 'Much pull.', 'Visible': False, 'Votes': 11, 'VotersIDs': ['49', '59', '97'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Standard alone.', 'Visible': True, 'Votes': 21, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': '68'}, {'MusicName': 'Institution short.', 'Visible': False, 'Votes': 21, 'VotersIDs': ['54', '30', '84', '59'], 'IsUserRecommentaion': True, 'RecommenderID': '26'}, {'MusicName': 'Finally.', 'Visible': False, 'Votes': 50, 'VotersIDs': [], 'IsUserRecommentaion': False, 'RecommenderID': ''}], 'EnableUserRecommendation': True}"
8,9,QR8,"{'MusicPlaylist': [{'MusicName': 'Strong.', 'Visible': False, 'Votes': 46, 'VotersIDs': ['99', '100', '63', '68', '50'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Science.', 'Visible': False, 'Votes': 36, 'VotersIDs': ['44', '34', '9', '10', '31'], 'IsUserRecommentaion': True, 'RecommenderID': '96'}, {'MusicName': 'Military customer.', 'Visible': False, 'Votes': 43, 'VotersIDs': ['8'], 'IsUserRecommentaion': False, 'RecommenderID': '100'}, {'MusicName': 'Rate.', 'Visible': True, 'Votes': 10, 'VotersIDs': ['91', '39', '4', '31', '86'], 'IsUserRecommentaion': False, 'RecommenderID': '95'}, {'MusicName': 'Within write.', 'Visible': True, 'Votes': 29, 'VotersIDs': ['98'], 'IsUserRecommentaion': True, 'RecommenderID': '65'}, {'MusicName': 'Five today.', 'Visible': True, 'Votes': 27, 'VotersIDs': ['65', '28', '38', '43', '86'], 'IsUserRecommentaion': True, 'RecommenderID': '25'}], 'EnableUserRecommendation': True}"
9,18,QR9,"{'MusicPlaylist': [{'MusicName': 'Determine sound.', 'Visible': True, 'Votes': 22, 'VotersIDs': ['89', '59', '5', '9'], 'IsUserRecommentaion': True, 'RecommenderID': ''}, {'MusicName': 'Month vote.', 'Visible': True, 'Votes': 29, 'VotersIDs': ['40'], 'IsUserRecommentaion': True, 'RecommenderID': '47'}, {'MusicName': 'Decision face.', 'Visible': True, 'Votes': 10, 'VotersIDs': ['13', '7', '80', '70', '47'], 'IsUserRecommentaion': True, 'RecommenderID': '99'}, {'MusicName': 'Pressure.', 'Visible': True, 'Votes': 49, 'VotersIDs': ['33', '2', '67', '49'], 'IsUserRecommentaion': True, 'RecommenderID': '43'}, {'MusicName': 'Nature.', 'Visible': True, 'Votes': 47, 'VotersIDs': ['29'], 'IsUserRecommentaion': True, 'RecommenderID': '66'}], 'EnableUserRecommendation': False}"
10,52,QR10,"{'MusicPlaylist': [{'MusicName': 'Company.', 'Visible': False, 'Votes': 22, 'VotersIDs': ['63', '57', '40', '85', '43'], 'IsUserRecommentaion': False, 'RecommenderID': ''}, {'MusicName': 'Pay.', 'Visible': True, 'Votes': 50, 'VotersIDs': ['71', '46'], 'IsUserRecommentaion': True, 'RecommenderID': '22'}, {'MusicName': 'History.', 'Visible': False, 'Votes': 33, 'VotersIDs': ['96', '34', '92', '83'], 'IsUserRecommentaion': False, 'RecommenderID': '67'}], 'EnableUserRecommendation': True}"
